id,title,date,categories,author,Lat,Lng,description
5guad,Lebeña (Cilorgio)*-Cantabria,02/14/19,"""Guadalupe""","""Katherine Dau""",43.215367,-4.590585,Iglesia de Santa María
6guad,Tagle-Cantabria,02/14/19,"""Guadalupe""","""Katherine Dau""",43.42451,-4.076338,
7guad,Horcajo de los Montes-Ciudad Real- Castilla-La Mancha,02/14/19,"""Guadalupe""","""Katherine Dau""",39.325313,-4.64968,In August-the townspeople process the image of Guadalupe from her hermitage which lies outside of the city into the church. coordinates of Parroquia de San Antonio Abad
8guad,El Torno,02/14/19,"""Guadalupe""","""Katherine Dau""",39.255351,-4.258006,plaza of guadalupe
9guad,Guadalupe- Cáceres- Extremadura,02/14/19,"""Guadalupe""","""Katherine Dau""",39.452384,-5.32732,monastario de guad
10guad,Jaraiceco-Cáceres- Extremadura,02/14/19,"""Guadalupe""","""Katherine Dau""",39.666685,-5.813173,church????
11guad,Valdelacasa de Tajo-Cáceres-Extremadura,02/14/19,"""Guadalupe""","""Katherine Dau""",39.726556,-5.283373,no church to be found
12guad,Villar del Pedroso-Cáceres-Extremadura,02/14/19,"""Guadalupe""","""Katherine Dau""",39.704779,-5.194911,
13guad,Rianxo-A Coruña-Galicia,02/14/19,"""Guadalupe""","""Katherine Dau""",42.653012,-8.817926,sanctuary
14guad,Codeseda-Pontevedra-Galicia,02/14/19,"""Guadalupe""","""Katherine Dau""",42.618443,-8.437432,church of san xurxo - looks like image of mex guad inside
15guad,Mondariz-Balneario-Pontevedra-Galicia,02/14/19,"""Guadalupe""","""Katherine Dau""",42.22514,-8.470969,church
16guad,Aldea del Fresno-Madrid,02/14/19,"""Guadalupe""","""Katherine Dau""",40.325828,-4.202344,church
17guad,Guadalupe-Murcia,02/14/19,"""Guadalupe""","""Katherine Dau""",37.99801,-1.169033,Parroquia de Nuestra Señora de Guadalupe
18guad,Fuenterrabía-Guipúzcoa-País Vasco,02/14/19,"""Guadalupe""","""Katherine Dau""",43.365355,-1.797329,Santuario de Nuestra Señora de Guadalupe
